MsgID.STATE,1521839760.0748959,False,False
MsgID.GLOBAL_POSITION,1521839774.7407370,-122.3974518,37.7924790,5.4290000
MsgID.LOCAL_VELOCITY,1521839774.7407370,0.0100000,0.0000000,0.0600000
MsgID.LOCAL_POSITION,1521839774.7410150,-0.1562270,0.1307457,-5.4292965
MsgID.LOCAL_VELOCITY,1521839774.7410150,0.0148474,-0.0066778,0.0648625
MsgID.GLOBAL_POSITION,1521839774.9913468,-122.3974493,37.7924791,5.1480000
MsgID.LOCAL_VELOCITY,1521839774.9913468,0.1200000,0.1200000,2.0400000
MsgID.LOCAL_POSITION,1521839774.9916439,-0.1412905,0.3555978,-5.1487050
MsgID.LOCAL_VELOCITY,1521839774.9916439,0.1299406,0.1269517,2.0439453
MsgID.STATE,1521839775.2229381,True,True
MsgID.GLOBAL_HOME,1521839775.2231739,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839775.2417841,-122.3974466,37.7924827,4.7830000
MsgID.LOCAL_VELOCITY,1521839775.2417841,1.5300000,1.4600000,0.8800000
MsgID.LOCAL_POSITION,1521839775.2420118,0.2581760,0.5958757,-4.7828712
MsgID.LOCAL_VELOCITY,1521839775.2420118,1.5325935,1.4646636,0.8837710
MsgID.GLOBAL_POSITION,1521839775.4915910,-122.3974406,37.7924873,4.8380000
MsgID.LOCAL_VELOCITY,1521839775.4915910,2.9000000,2.9200000,-0.7000000
MsgID.LOCAL_POSITION,1521839775.4918370,0.7679788,1.1235666,-4.8388219
MsgID.LOCAL_VELOCITY,1521839775.4918370,2.9068811,2.9273117,-0.7060027
MsgID.GLOBAL_POSITION,1521839775.7421389,-122.3974339,37.7924925,5.0060000
MsgID.LOCAL_VELOCITY,1521839775.7421389,3.3300000,3.3900000,0.0500000
MsgID.LOCAL_POSITION,1521839775.7424130,1.3475752,1.7236830,-5.0069008
MsgID.LOCAL_VELOCITY,1521839775.7424130,3.3361313,3.3982174,0.0557997
MsgID.GLOBAL_POSITION,1521839775.9922991,-122.3974242,37.7925007,4.9490000
MsgID.LOCAL_VELOCITY,1521839775.9922991,3.8500000,3.9300000,0.5100000
MsgID.LOCAL_POSITION,1521839775.9925060,2.2499402,2.5859909,-4.9495292
MsgID.LOCAL_VELOCITY,1521839775.9925060,3.8552759,3.9391840,0.5184540
MsgID.STATE,1521839776.2244699,True,True
MsgID.GLOBAL_HOME,1521839776.2247438,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839776.2415099,-122.3974114,37.7925114,4.9080000
MsgID.LOCAL_VELOCITY,1521839776.2415099,4.6700000,4.7800000,0.0600000
MsgID.LOCAL_POSITION,1521839776.2418020,3.4457700,3.7172644,-4.9081836
MsgID.LOCAL_VELOCITY,1521839776.2418020,4.6745563,4.7830420,0.0660404
MsgID.GLOBAL_POSITION,1521839776.4918180,-122.3973980,37.7925236,4.9270000
MsgID.LOCAL_VELOCITY,1521839776.4918180,5.3500000,5.4600000,-0.0700000
MsgID.LOCAL_POSITION,1521839776.4920471,4.7960081,4.9153881,-4.9270039
MsgID.LOCAL_VELOCITY,1521839776.4920471,5.3510160,5.4667692,-0.0732925
MsgID.GLOBAL_POSITION,1521839776.7417569,-122.3973814,37.7925347,4.9170000
